target,value
T6,0.6735139991298179
T7,0.8397483107747997
T8,0.9853691112061325
T9,0.8433151293906705
T10,0.8802006376501439
T11,0.8934149506545463
T12,0.6008769446788458
T13,0.7461296535135433
T14,0.9461980915015342
T1,0.9138425007504223
T2,0.9426913161912425
T3,0.9852244169429096
T4,0.9518686728285288
T5,0.9692190813050214
T6,0.8882866876380688
T7,0.91576713669186
T8,1.0275023795029234
T9,0.8176817890963198
T10,1.0127441051797317
T11,0.9911207402215299
T12,0.8570671334972721
T13,0.9567546698849066
T14,1.012263708115118
T1,0.885699799984121
T2,0.9339714802950272
T3,1.0328343588372697
T4,0.9670345514530166
T5,0.8910426250512393
T6,0.7771583240603721
T7,0.7405125986806576
T8,0.9530161618109124
T9,0.910500454843824
T10,0.9203863804464383
T11,0.9472698067026135
T12,0.7159847471247882
T13,0.8631164328142584
T14,0.9815513306693608
T1,1.0000000013444752
T2,1.0000000024783713
T3,0.9999999995935569
T4,1.0000000038909729
T5,1.0000000005925465
T6,0.999999995656084
T7,0.9999999983930079
T8,0.9999999980003847
T9,0.9999999992903882
T10,1.0000000017406498
T11,1.000000000442812
T12,1.0000000003055272
T13,1.0000000040333883
T14,1.000000000166076
T1,0.9653212667405286
T2,1.080103661877247
T3,0.9482180471486852
T4,1.0436318952416372
T5,1.0895811784365481
T6,0.9494247371910848
T7,1.0250552523916636
T8,0.9925418818469917
T9,0.9371297934523908
T10,0.904355356861897
T11,0.9563323409375327
T12,0.9662441236128383
T13,0.9507842534530602
T14,1.0195393830208601
T1,0.937893916981444
T2,1.0338673700495007
T3,0.9400424318087117
T4,1.0261751156002326
T5,1.0538684811354058
T6,0.9512793825835363
T7,1.0627256775605975
T8,1.0231878266078573
T9,0.9060096766442836
T10,0.8719965387924511
T11,0.953843893055725
T12,0.9873545064738005
T13,0.949173353055937
T14,1.0231002772587976
T1,1.0147778270101955
T2,1.06984505827472
T3,0.8688494869520986
T4,1.0624581036752008
T5,1.0744709003886883
T6,1.0830924317128954
T7,1.1450650922045218
T8,1.002728750666442
T9,0.9630090761637184
T10,0.8787371785360277
T11,0.9557796116370008
T12,1.0571870037881181
T13,0.9125187736224577
T14,1.0104994343951625
T1,0.9851813381596154
T2,1.0638953796044417
T3,0.962286474789085
T4,0.9813811261488805
T5,1.0102526446101452
T6,0.973391100546888
T7,1.006833827071932
T8,1.0133454382736855
T9,0.9518308895777636
T10,0.9170336128728553
T11,0.9836378383769337
T12,0.9199356866243118
T13,0.9854602398442398
T14,1.0118183453565979
T1,0.999516346921297
T2,1.0000000024783713
T3,0.9831202689059453
T4,1.0000000032600227
T5,0.9824369010180072
T6,0.9985898026391986
T7,0.9993265517607519
T8,0.999999995517826
