domain_type,value
Personality,0.73065483084819
Personality,0.7315116360158409
Personality,0.8313525761274874
Education,0.9036070725387411
Education,0.8257115242842994
Education,0.9699263980560071
Education,0.9291877099149923
Education,0.8950472108501791
Education,0.7780156704181146
Education,0.9164241190704345
Education,0.9268842578105161
Personality,0.860964979231724
Personality,1.004785662574694
Personality,0.8852810899571056
Personality,0.7473061982925995
Personality,0.8676967181670652
Personality,0.8506505715924478
Education,0.9096363243817964
Education,0.817501926754017
Education,0.9696241435712809
Education,0.9749631270774903
Education,0.8640961901382884
Education,0.8263389077122096
Education,0.9481492269481531
Education,0.9169665889709713
Personality,0.882865390070299
Personality,0.9552293381200408
Personality,0.8629582465487657
Personality,0.7695039915009931
Personality,0.8788211157931314
Personality,0.8834953949650781
Education,0.8266331958468809
Education,0.6459417266847469
Education,0.8858885575888524
Education,1.0169542247570007
Education,0.823135604636648
Education,0.8074699193077186
Education,0.8694192341805147
Education,0.9619828002168769
Personality,0.9200476931742463
Personality,0.8146190158098802
Personality,0.8654097997622152
Personality,0.685479288192256
Personality,0.6707439264964191
Personality,0.8488364882888886
Education,0.9547168696919834
Education,0.8197846578046692
Education,0.959325273642311
Education,0.9957905377574654
Education,0.9474896059529441
Education,0.9433857590888264
Education,0.9420956899175927
Education,1.0206740424194072
Personality,0.885462511345323
Personality,0.9865137472638452
Personality,0.858509092121254
Personality,0.7820101215757043
Personality,0.9386559803302392
Personality,0.8767699015426771
Education,0.8110959611642652
Education,0.8202029048645822
Education,0.9096532353270496
Education,0.9190042544079333
Education,0.8995170513748255
Education,0.8899139423091995
Education,0.8730008918158887
Education,1.0707457854886435
Personality,0.9659340759741408
Personality,0.8926344742552079
Personality,0.8697600418097277
Personality,0.7232952836196801
Personality,0.7635529988498966
Personality,0.8924765137248208
Education,0.9379350511104506
Education,0.9443625246554124
Education,0.9967043955757702
Education,0.9028416339732492
Education,0.8301078188426186
Education,0.8869183472106368
Education,0.9719844043596928
Education,0.9154962809722991
Personality,0.935921492983563
Personality,0.9336379183643999
Personality,0.9363407778115311
Personality,0.8395588249670914
Personality,0.8919800351630451
Personality,0.937482640366399
Education,0.929709330494799
Education,0.8561150191163474
Education,0.9603409589893313
Education,0.9587490689319218
Education,0.9079946882469672
Education,0.892359586983262
Education,0.9800483295617806
Education,0.9113737400407251
Personality,0.9337385411802519
Personality,0.9360078168379495
Personality,0.9252475565422902
Personality,0.8521856236733629
Personality,0.883019590394933
Personality,0.95135220892301
Education,0.75270496911757
Education,0.8580175479588054
Education,0.9935608626711009
Education,0.9498864945262269
Education,0.8217391791307651
Education,0.9616358125421609
Education,0.8783466161266691
Education,0.9826983148798656
Personality,0.9635080277315626
Personality,0.9232385382689889
Personality,0.8894619620474691
Personality,0.793943937167876
Personality,0.8438374010854326
Personality,0.7913538520742067
Education,0.9893564021102942
Education,0.8748728730823914
Education,1.0450480140752096
Education,0.9838223603660241
Education,0.7918146001103753
Education,0.9488224732917313
Education,0.9728015172961028
Education,0.9704570799003422
Personality,0.9643827983149584
Personality,0.9814683182853435
Personality,0.9236933871832922
Personality,0.8684205290804226
Personality,0.8800658442568122
Personality,0.9331689771072874
Education,0.7786542171896207
Education,0.8211075109697652
Education,0.8658238484704914
Education,1.039716572743044
Education,0.8793062584578638
Education,0.9499069259309407
Education,0.9446989407383557
Education,0.8956261096610583
Personality,0.9373664695727477
Personality,0.8644250534093572
Personality,0.73443837083143
Personality,0.7829166669846579
Personality,0.832077968076079
Personality,0.7981157369733831
Education,0.8667158016317411
Education,0.9106847586683058
Education,0.8762236510001198
Education,0.9581512805898494
Education,0.8674601165580214
Education,0.9949971437494927
Education,0.9350326017777866
Education,0.9975445973227546
Personality,0.9512360606749365
Personality,0.9346598151826038
Personality,0.8228812105840664
Personality,0.838332267870088
Personality,0.8817871795096537
Personality,0.9126148167339827
Education,0.9120771695541895
Education,0.9040364469322362
Education,0.8586929628441815
Education,0.9889035453879866
Education,0.9065034871383562
Education,0.9717542195593345
Education,1.0033264212183712
Education,0.9499730812091743
Personality,0.9264958463440225
Personality,0.9491540348744922
Personality,0.865741277418266
Personality,0.8558960075050674
Personality,0.8922522574044699
Personality,0.8686408445850171
Education,0.7327082793010959
Education,0.9323698745279357
Education,0.9517811688322728
Education,0.9876687671505197
Education,0.9397680606333194
Education,0.937858992797774
Education,0.9866935748410384
Education,0.9180183605696243
Personality,0.8461688978479915
Personality,0.8959561043786122
Personality,0.7740033336302414
Personality,0.798322468808895
Personality,0.9067163177368752
Personality,0.8874745417124486
Education,0.9197535967969397
Education,0.890807853629591
Education,0.9463240679912015
Education,1.0188420771864273
Education,0.9117241754743268
Education,0.9807214934918558
Education,0.9612025847669297
Education,0.9778862969765679
Personality,0.947504903945992
Personality,0.8992978735987958
Personality,0.8636616009885626
Personality,0.8232583838134659
Personality,0.9097756817519823
Personality,0.9270445704197123
Education,0.7303709742682828
Education,0.8197741859443983
Education,0.9152308973177021
Education,0.9913684797372195
Education,0.930015806863697
Education,0.9589416374994786
Education,0.9388777100369459
Education,0.90556324055161
Personality,0.9012983188241473
Personality,0.9159388068654328
Personality,0.8214198181320277
Personality,0.6656044889234574
Personality,1.0028390875463806
Personality,0.8712890215104675
Education,0.858567619308235
Education,0.926154763687749
Education,0.9763770826702152
Education,1.0167907848431228
Education,0.9590895597490374
Education,0.9835020896532325
Education,0.948764074067509
Education,0.9216876343418796
Personality,0.9337476683459465
Personality,0.9746454492123208
Personality,0.9356939568917231
Personality,0.8256423789256195
Personality,0.901867235294216
Personality,0.8904460408298858
Education,0.8656834953131358
Education,0.9584260088988723
Education,0.9823158335648712
Education,1.0638056745010531
Education,0.9680125564987254
Education,0.9926380918646418
Education,0.9115889429780254
Education,0.9153256754666588
Personality,0.9368579947301887
Personality,0.9627084697759611
Personality,0.9268620930542052
Personality,0.7856752296738965
Personality,0.9213347040198675
Personality,0.8780908492997399
Education,0.7332492121517986
Education,0.7467937983286761
Education,0.9216652710641968
Education,1.0224011156355035
Education,0.8748219851990355
Education,1.0274416769813457
Education,0.9647018777691844
Education,0.859194140268965
Personality,0.9056113825298049
Personality,0.9637830523900704
Personality,0.7792880062106899
Personality,0.6576767735854162
Personality,0.9821573038108006
Personality,0.7897928359915813
Education,0.8781680299025876
Education,0.93003167851781
Education,0.9950386326527658
Education,0.9776881887028355
Education,0.9990745241501042
Education,0.940295700265632
Education,0.9486877251203996
Education,0.9798106208665802
Personality,1.0041836654809988
Personality,0.9055193553770834
Personality,0.9816603129424945
Personality,0.802695438673435
Personality,0.9051343279727826
Personality,0.8993834291266665
Education,0.8130105795157718
Education,0.8247757018276642
Education,0.9631819405587398
Education,1.0164291218246768
Education,0.9151129352976654
Education,0.8710758705816752
Education,0.8426634993023181
Education,0.8945054998085686
Personality,0.913274656523082
