fold,method,SPS,M_total,student,embedding,regressor,variant,median_rrmse_fold,rrmse_domain1,rrmse_domain2,rrmse_domain3,rrmse_domain4,rrmse_domain5,rrmse_domain6,rrmse_domain7,rrmse_domain8,rrmse_domain9,rrmse_domain10,rrmse_domain11,rrmse_domain12,rrmse_domain13,rrmse_domain14
10,gemma,4,384,S1,e5_base,chain_ERCcv_lr,baseline,0.8391608595848083,7.810456275939941,0.23669740557670593,0.6535389423370361,0.8488512635231018,3.138084650039673,0.736088752746582,0.2884567975997925,1.0279470682144165,0.012218954041600227,1.623595952987671,0.13193832337856293,4.802712917327881,0.8294704556465149,0.9066271781921387
11,gemma,4,384,S1,e5_base,chain_ERCcv_lr,baseline,0.9313313364982605,0.21850955486297607,1.3421772718429565,1.2462568283081055,2.1302506923675537,0.9349581003189087,0.9030218720436096,0.9277045726776123,0.1435692012310028,2.514309883117676,1.236900806427002,0.37033531069755554,0.13654771447181702,0.5266176462173462,4.0590434074401855
12,gemma,4,384,S1,e5_base,chain_ERCcv_lr,baseline,1.2551205158233643,3.755401849746704,0.9916984438896179,22.244760513305664,0.7807721495628357,1.6204699277877808,4.241614818572998,2.2076940536499023,60.02219009399414,0.5043131113052368,0.1804565042257309,1.0841424465179443,0.9768840074539185,0.3339976370334625,1.4260987043380737
13,gemma,4,384,S1,e5_base,chain_ERCcv_lr,baseline,0.7627869844436646,0.06202191859483719,0.9090858101844788,0.024708200246095657,41.180274963378906,0.6164882183074951,0.25236454606056213,2.788464307785034,0.08701840043067932,1.8368852138519287,1.0738672018051147,1.324520468711853,37.313011169433594,0.5958860516548157,0.41103699803352356
14,gemma,4,384,S1,e5_base,chain_ERCcv_lr,baseline,0.6785402297973633,0.7036994695663452,0.5292307734489441,0.8905167579650879,2.820683717727661,0.6339479088783264,2.2435803413391113,0.6187224388122559,1.1462606191635132,0.061752550303936005,0.9326876401901245,0.6533809900283813,0.39200952649116516,19.842866897583008,0.4743562638759613
15,gemma,4,384,S1,e5_base,chain_ERCcv_lr,baseline,0.9725465774536133,3.333109140396118,0.18688172101974487,0.9922471642494202,0.3364124894142151,1.4567663669586182,0.6372441649436951,3.81801176071167,0.8574801683425903,3.2108097076416016,5.481381416320801,0.9528460502624512,0.7770226001739502,0.45179715752601624,1.1949713230133057
16,gemma,4,384,S1,e5_base,chain_ERCcv_lr,baseline,1.1501126289367676,2.3062477111816406,0.4380554258823395,0.7554323673248291,1.5036860704421997,1.4789079427719116,1.258449912071228,0.9560726881027222,1.9072165489196777,0.845745861530304,1.2883732318878174,1.0417754650115967,0.774446964263916,2.3399314880371094,0.6220822930335999
17,gemma,4,384,S1,e5_base,chain_ERCcv_lr,baseline,0.699799120426178,1.315001130104065,66.28009796142578,0.5875765681266785,0.9276166558265686,0.4475133419036865,0.8573422431945801,0.3212677538394928,0.8132074475288391,0.14017874002456665,0.8120216727256775,0.2690589427947998,0.9599072337150574,0.34670403599739075,0.1668798178434372
18,gemma,4,384,S1,e5_base,chain_ERCcv_lr,baseline,0.5210853815078735,0.5101015567779541,1.6173655986785889,0.21448981761932373,0.06578811258077621,0.02010287716984749,0.552788257598877,7.806463718414307,2.2564873695373535,0.4686390161514282,0.19885551929473877,0.16952556371688843,1.4024893045425415,0.5320692658424377,7.453421592712402
19,gemma,4,384,S1,e5_base,chain_ERCcv_lr,baseline,0.29402756690979004,0.8241811990737915,0.07658032327890396,0.018331794068217278,0.44357529282569885,0.8276087045669556,0.017356552183628082,0.7560880184173584,0.7455638647079468,0.009934155270457268,0.1890847086906433,0.10399442911148071,0.17592425644397736,0.4399745762348175,0.39897042512893677
